Name,Self CPU Time (μs),CPU Time (μs),Self CUDA Time (μs),CUDA Time (μs),Count
ProfilerStep*,653.241,6714.885,0,0,1
aten::item,1.4429999999999836,2.2549999999999955,0,0,1
aten::_local_scalar_dense,0.8120000000000118,0.8120000000000118,0,0,1
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,171.0650000000001,229.96000000000004,0,0,1
aten::select,7.84699999999998,8.954999999999984,0,0,1
aten::as_strided,1.108000000000004,1.108000000000004,0,0,1
aten::select,1.2039999999999509,1.4419999999999504,0,0,1
aten::as_strided,0.23799999999999955,0.23799999999999955,0,0,1
aten::select,1.742999999999995,2.3149999999999977,0,0,1
aten::as_strided,0.5720000000000027,0.5720000000000027,0,0,1
aten::select,0.9190000000000396,1.0470000000000255,0,0,1
aten::as_strided,0.1279999999999859,0.1279999999999859,0,0,1
aten::select,1.0499999999999545,1.2039999999999509,0,0,1
aten::as_strided,0.15399999999999636,0.15399999999999636,0,0,1
aten::select,0.8430000000000177,0.9739999999999895,0,0,1
aten::as_strided,0.1309999999999718,0.1309999999999718,0,0,1
aten::select,1.424000000000035,1.7180000000000177,0,0,1
aten::as_strided,0.2939999999999827,0.2939999999999827,0,0,1
aten::select,1.6340000000000146,1.879000000000019,0,0,1
aten::as_strided,0.24500000000000455,0.24500000000000455,0,0,1
aten::select,0.9090000000000487,1.0230000000000246,0,0,1
aten::as_strided,0.1139999999999759,0.1139999999999759,0,0,1
aten::select,0.8100000000000023,1.045000000000016,0,0,1
aten::as_strided,0.23500000000001364,0.23500000000001364,0,0,1
aten::select,1.4089999999999918,1.6309999999999718,0,0,1
aten::as_strided,0.22199999999998,0.22199999999998,0,0,1
aten::select,0.7379999999999995,1.0360000000000014,0,0,1
aten::as_strided,0.2980000000000018,0.2980000000000018,0,0,1
aten::select,0.8920000000000528,1.1190000000000282,0,0,1
aten::as_strided,0.22699999999997544,0.22699999999997544,0,0,1
aten::select,0.7509999999999195,0.9919999999999618,0,0,1
aten::as_strided,0.2410000000000423,0.2410000000000423,0,0,1
aten::select,1.2999999999999545,1.5009999999999764,0,0,1
aten::as_strided,0.20100000000002183,0.20100000000002183,0,0,1
aten::select,1.5860000000000127,1.7980000000000018,0,0,1
aten::as_strided,0.21199999999998909,0.21199999999998909,0,0,1
aten::stack,5.55600000000004,16.27600000000001,0,0,1
aten::cat,9.319000000000017,9.319000000000017,0,0,1
aten::view,1.4009999999999536,1.4009999999999536,0,0,1
aten::stack,4.19500000000005,12.939999999999998,0,0,1
aten::unsqueeze,1.1860000000000355,1.5509999999999877,0,0,1
aten::as_strided,0.36499999999995225,0.36499999999995225,0,0,1
aten::unsqueeze,0.5999999999999659,0.7479999999999905,0,0,1
aten::as_strided,0.14800000000002456,0.14800000000002456,0,0,1
aten::unsqueeze,0.561999999999955,0.7849999999999682,0,0,1
aten::as_strided,0.2230000000000132,0.2230000000000132,0,0,1
aten::unsqueeze,0.6219999999999573,0.8899999999999864,0,0,1
aten::as_strided,0.2680000000000291,0.2680000000000291,0,0,1
aten::unsqueeze,0.632000000000005,0.83299999999997,0,0,1
aten::as_strided,0.20099999999996498,0.20099999999996498,0,0,1
aten::unsqueeze,0.4569999999999368,0.6069999999999709,0,0,1
aten::as_strided,0.1500000000000341,0.1500000000000341,0,0,1
aten::unsqueeze,0.5430000000000632,0.8930000000000291,0,0,1
aten::as_strided,0.3499999999999659,0.3499999999999659,0,0,1
aten::unsqueeze,0.6800000000000068,0.8930000000000291,0,0,1
aten::as_strided,0.21300000000002228,0.21300000000002228,0,0,1
aten::cat,1.545000000000016,1.545000000000016,0,0,1
aten::to,0.51400000000001,0.51400000000001,0,0,1
aten::to,0.053999999999973625,0.053999999999973625,0,0,1
aten::linear,2.7920000000002574,71.8950000000001,0,0,1
aten::t,5.602999999999952,8.267999999999915,0,0,1
aten::transpose,1.766999999999939,2.6649999999999636,0,0,1
aten::as_strided,0.8980000000000246,0.8980000000000246,0,0,1
aten::addmm,52.382999999999925,60.83499999999992,0,0,1
aten::expand,1.6100000000001273,2.1170000000000755,0,0,1
aten::as_strided,0.5069999999999482,0.5069999999999482,0,0,1
aten::copy_,6.059999999999945,6.059999999999945,0,0,1
aten::resolve_conj,0.24099999999998545,0.24099999999998545,0,0,1
aten::resolve_conj,0.033999999999991815,0.033999999999991815,0,0,1
aten::relu,4.206999999999994,11.875,0,0,1
aten::clamp_min,7.668000000000006,7.668000000000006,0,0,1
aten::dropout,5.078999999999951,107.904,0,0,1
aten::empty_like,3.092999999999847,4.902999999999906,0,0,1
aten::empty_strided,1.8100000000000591,1.8100000000000591,0,0,1
aten::bernoulli_,77.77300000000002,77.77300000000002,0,0,1
aten::div_,8.173000000000002,13.56000000000006,0,0,1
aten::to,1.0470000000000255,5.387000000000057,0,0,1
aten::_to_copy,2.379000000000019,4.340000000000032,0,0,1
aten::empty_strided,0.7459999999999809,0.7459999999999809,0,0,1
aten::copy_,1.2150000000000318,1.2150000000000318,0,0,1
aten::mul,6.5890000000000555,6.5890000000000555,0,0,1
aten::linear,1.279999999999859,95.06299999999999,0,0,1
